,執行單位,標案名稱,詳細連結
22,金門縣衛生局,金門縣烈嶼鄉衛生所整修工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T2024272C282A37&iprjno=2O1R1S272425262A2B2C2F2M2I&iuid=3T3F4C4C3N4E3Q4A
23,金門縣烈嶼鄉公所,烈嶼鄉大山頂週邊環境綠美化工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242526282A31&iprjno=1P1Q26362227&iuid=3T3F4C4C3N4E3Q4A
24,金門縣烈嶼鄉公所,108年烈嶼加油站周邊環境改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242526282A31&iprjno=1P1Q262J2J2427&iuid=3T3F4C4C3N4E3Q4A
25,金門縣烈嶼鄉公所,108年度烈嶼鄉道路修補工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242526282A31&iprjno=1P1Q26202228&iuid=3T3F4C4C3N4E3Q4A
26,金門縣烈嶼鄉公所,烈嶼鄉雙口多功能景觀瞭望台暨廁所等公共設施新建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242526282A31&iprjno=1P1Q2520242D&iuid=3T3F4C4C3N4E3Q4A
27,金門縣烈嶼鄉公所,烈嶼鄉107年度產業道路暨農田排水改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242526282A31&iprjno=1P1Q25202329&iuid=3T3F4C4C3N4E3Q4A
28,金門縣烈嶼鄉公所,烈嶼鄉108年聚落零星改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242526282A31&iprjno=1P1Q2620222A&iuid=3T3F4C4C3N4E3Q4A
29,金門縣烈嶼鄉公所,烈嶼鄉楊厝社區活動中心新建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242526282A31&iprjno=1P1Q25202427&iuid=3T3F4C4C3N4E3Q4A
30,金門縣烈嶼鄉公所,烈嶼鄉108年度區域排水溝清淤及零星修復開口契約,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242526282A31&iprjno=1P1Q26202229&iuid=3T3F4C4C3N4E3Q4A
31,金門縣烈嶼鄉公所,烈嶼鄉羅厝社區老人共餐中心新建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242526282A31&iprjno=1P1Q2520252C&iuid=3T3F4C4C3N4E3Q4A
32,交通部高速公路局第二新建工程處第五工務所,金門大橋建設計畫第CJ02-2C標金門大橋接續工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1R232027242D282F3B&iprjno=1O21201R2L30262A272E332D35&iuid=3T3F4C4C3N4E3Q4A
33,國防部陸軍司令部,南塘二營區整體整修工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1Q2324222426282A31&iprjno=1P1Q261R23252D292A2K2E2M2K2S2M2O2R313232&iuid=3T3F4C4C3N4E3Q4A
34,國防部陸軍司令部,復興嶼營區整體整修工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1Q2324222426282A31&iprjno=1P1Q261R23252D292A2K2E2N2O2M2P2O2Q323232&iuid=3T3F4C4C3N4E3Q4A
35,金門國家公園管理處,四維五及周邊營區設施改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1Q1T2024242C282A35&iprjno=2L2P1T20292626292H&iuid=3T3F4C4C3N4E3Q4A
36,金門國家公園管理處,烈嶼湖井頭戰史館公廁與周邊環境整理改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R1Q1T2024242C282A35&iprjno=2L2P1T202926262D2F&iuid=3T3F4C4C3N4E3Q4A
37,金門縣政府觀光處,金門縣金寧鄉公車轉運停車場興建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242N2C282A47&iprjno=2O1R1S27232526292B2C2E2P2I&iuid=3T3F4C4C3N4E3Q4A
38,金門縣政府工務處水利及下水道科,金門地區湖下區排工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242M27372C47&iprjno=2O1R1S27232526292B2C2F2J2L&iuid=3T3F4C4C3N4E3Q4A
39,金門縣政府工務處水利及下水道科,「金門工商休閒園區第一期開發區污水處理廠工程」(含三年試運轉),http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242M27372C47&iprjno=2O1R1S25232526292B2C2E2N2O&iuid=3T3F4C4C3N4E3Q4A
40,金門縣政府工務處水利及下水道科,金寧鄉安岐排水分洪截流工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242M27372C47&iprjno=2O1R1S27232526292B2C2F2J2P&iuid=3T3F4C4C3N4E3Q4A
41,金門縣金寧鄉金鼎國民小學,金鼎國小穿堂教室整修工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242L2F2G2D3N&iprjno=2O1R1S282526272D2B2C2E2M2J&iuid=3T3F4C4C3N4E3Q4A
42,金門縣立金寧國民中小學,廚房增建工程(二),http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242L2F2E2H31&iprjno=2O1R1S282525262C2B2C2E2H2K&iuid=3T3F4C4C3N4E3Q4A
43,金門縣政府教育處,金鼎國民小學北側教室拆除重建工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242L2F282A47&iprjno=2O1R1S26232526292B2C2F2N2Q&iuid=3T3F4C4C3N4E3Q4A
44,金門縣政府建設處,金寧鄉南山39號傳統建築物修復工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242L2B282A47&iprjno=2O1R1S27232526292B2C2F2G2Q&iuid=3T3F4C4C3N4E3Q4A
45,金門酒廠實業股份有限公司,金門酒廠醱酵大樓新建工程(建築),http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242A28282A3A&iprjno=2O1R1S262427262A2B2C2E2G2O&iuid=3T3F4C4C3N4E3Q4A
46,金門酒廠實業股份有限公司,金寧廠製酒一場排水系統及綜合大樓設備改善工程,http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242A28282A3A&iprjno=2O1R1S272427262A2B2C2E2P2J&iuid=3T3F4C4C3N4E3Q4A
47,金門酒廠實業股份有限公司,金門酒廠醱酵大樓新建工程(機電、空調),http://cmdweb.pcc.gov.tw/pccms/owa/guesmap.prnprj?iwkut=1R231T20242A28282A3A&iprjno=2O1R1S262427262A2B2C2E2H2N&iuid=3T3F4C4C3N4E3Q4A
